index,label,color,shape,chimbeom,beonjim,result
81,001_004_21,2,1,1,1,0
82,001_004_22,2,1,1,1,0
83,001_004_23,3,2,2,1,0
84,001_004_24,1,1,3,2,0
85,001_004_25,2,1,3,2,0
86,001_004_26,2,3,1,1,0
87,001_004_27,3,1,3,2,0
88,001_004_28,3,1,3,2,0
89,001_004_29,3,4,2,1,0
90,001_004_3,1,4,1,4,0
91,001_004_30,3,4,2,1,0
92,001_004_31,2,3,1,1,0
93,001_004_32,3,2,2,1,0
94,001_004_34,3,1,1,2,0
95,001_004_35,3,2,2,1,0
96,001_004_36,3,2,2,2,0
97,001_004_37,3,2,3,2,0
98,001_004_38,3,1,3,2,0
99,001_004_39,2,1,1,2,0
100,001_004_4,0,2,2,1,0
101,001_004_40,3,1,3,2,0
102,001_004_41,1,4,1,4,0
103,001_004_42,0,2,1,1,0
104,001_004_43,1,1,3,2,0
105,001_004_47,3,2,2,1,0
106,001_004_48,1,2,2,1,0
107,001_004_49,1,2,2,1,0
108,001_004_5,1,2,2,1,0
109,001_004_52,3,4,2,1,0
110,001_004_53,3,4,2,1,0
111,001_004_54,3,4,2,1,0
112,001_004_55,3,4,2,1,0
113,001_004_56,3,4,2,1,0
114,001_004_57,3,4,2,1,0
115,001_004_58,3,4,2,1,0
116,001_004_59,3,4,2,1,0
117,001_004_6,3,4,2,1,0
118,001_004_60,3,2,2,2,0
119,001_004_62,2,5,1,1,0
120,001_004_64,2,1,1,2,0
121,001_004_7,1,4,1,4,0
122,001_004_71,3,4,2,1,0
123,001_004_72,1,4,1,4,0
124,001_004_73,1,4,1,4,0
125,001_004_74,3,2,2,1,0
126,001_004_75,3,4,2,1,0
127,001_004_76,3,4,2,1,0
128,001_004_77,3,4,2,1,0
129,001_004_78,3,4,2,1,0
130,001_004_79,3,4,2,1,0
131,001_004_8,0,2,1,1,0
132,001_004_80,3,4,2,1,0
133,001_004_83,2,5,1,1,0
134,001_004_84,2,1,1,2,0
135,001_004_85,1,4,1,4,0
136,001_004_86,2,3,1,2,0
137,001_004_87,3,4,2,1,0
138,001_004_9,3,3,2,1,0
139,001_004_91,2,5,1,1,0
140,001_004_92,2,1,1,2,0
141,001_004_93,2,1,1,2,0
142,001_004_94,0,5,1,2,0
143,001_004_95,2,3,1,2,0
144,001_004_99,2,1,1,2,0
145,001_005_1,1,1,3,2,0
146,001_005_11,2,1,3,2,0
147,001_005_12,1,1,2,2,0
148,001_005_13,2,3,1,2,0
149,001_005_19,2,2,2,1,0
150,001_005_27,2,1,1,1,0
151,001_005_28,2,1,1,1,0
152,001_005_3,2,1,1,2,0
153,001_005_33,2,1,1,2,0
154,001_005_35,2,1,1,2,0
155,001_005_36,2,5,1,2,0
156,001_005_37,0,5,1,2,0
157,001_005_38,1,2,1,1,0
158,001_005_4,1,2,2,2,0
159,001_005_42,2,1,1,2,0
160,001_005_44,2,1,1,2,0
161,001_005_45,2,3,1,2,0
162,001_005_46,2,1,1,1,0
163,001_005_5,1,2,1,2,0
164,001_005_6,1,1,2,2,0
165,001_005_7,1,1,2,2,0
166,001_005_8,2,1,3,1,0
167,001_005_9,2,1,3,1,0
168,001_006_10,0,5,1,2,0
169,001_006_11,1,5,1,2,0
170,001_006_12,0,5,1,2,0
171,001_006_13,2,1,1,2,0
172,001_006_15,0,5,1,2,0
173,001_006_16,2,1,1,1,0
174,001_006_18,2,1,1,2,0
175,001_006_20,0,5,1,2,0
176,001_006_21,2,1,1,2,0
177,001_006_24,2,1,1,2,0
178,001_006_25,2,1,1,2,0
179,001_006_26,2,1,1,2,0
180,001_006_4,1,3,1,2,0
181,001_006_5,3,1,2,2,0
182,001_006_8,3,1,1,2,0
183,001_007_1,3,3,3,1,0
184,001_007_10,3,1,1,1,0
185,001_007_103,2,1,1,2,0
186,001_007_11,1,1,2,2,0
187,001_007_12,3,1,2,2,0
188,001_007_126,2,1,1,2,0
189,001_007_127,3,1,2,1,0
190,001_007_128,4,3,1,0,0
191,001_007_129,4,3,1,0,0
192,001_007_13,3,2,2,1,0
193,001_007_133,2,3,1,1,0
194,001_007_14,3,1,3,2,0
195,001_007_15,2,1,1,2,0
196,001_007_16,1,1,3,1,0
197,001_007_17,2,3,1,2,0
198,001_007_18,3,1,3,2,0
199,001_007_19,3,4,2,1,0
200,001_007_2,1,1,3,1,0
201,001_007_20,3,1,3,1,0
202,001_007_22,3,1,2,1,0
203,001_007_23,3,1,3,2,0
204,001_007_24,2,1,2,1,0
205,001_007_25,3,2,3,2,0
206,001_007_27,4,3,1,0,0
207,001_007_28,3,4,1,1,0
208,001_007_29,3,2,2,1,0
209,001_007_3,3,2,2,1,0
210,001_007_30,3,1,3,1,0
211,001_007_32,3,4,2,1,0
212,001_007_33,3,1,3,1,0
213,001_007_34,3,2,2,1,0
214,001_007_35,3,2,2,1,0
215,001_007_36,3,2,3,1,0
216,001_007_37,3,1,3,2,0
217,001_007_38,3,1,3,2,0
218,001_007_39,2,3,1,1,0
219,001_007_4,1,1,2,2,0
220,001_007_41,3,3,2,2,0
221,001_007_43,2,1,1,4,0
222,001_007_47,3,1,2,1,0
223,001_007_48,3,1,2,1,0
224,001_007_5,4,1,1,3,0
225,001_007_57,4,3,1,0,0
226,001_007_58,4,3,1,0,0
227,001_007_59,4,3,1,0,0
228,001_007_6,4,4,1,0,0
229,001_007_60,4,4,1,0,0
230,001_007_61,4,4,1,0,0
231,001_007_7,4,3,1,0,0
232,001_007_78,2,1,1,2,0
233,001_007_79,4,3,1,0,0
234,001_007_8,3,2,2,1,0
235,001_007_80,1,1,3,2,0
236,001_007_81,3,1,1,2,0
237,001_007_82,4,4,1,0,0
238,001_007_9,3,3,2,1,0
239,001_007_96,2,1,1,2,0
240,001_008_1,3,4,2,1,0
241,001_008_121,3,1,2,1,0
242,001_008_122,1,1,1,2,0
243,001_008_154,2,1,1,2,0
244,001_008_155,3,4,2,1,0
245,001_008_156,3,4,2,1,0
246,001_008_157,3,4,2,1,0
247,001_008_158,3,4,2,1,0
248,001_008_2,3,2,2,1,0
249,001_008_237,2,1,1,2,0
250,001_008_238,2,1,1,2,0
251,001_008_239,3,4,2,1,0
252,001_008_240,3,2,2,1,0
253,001_008_241,2,1,1,1,0
254,001_008_321,2,1,2,1,0
255,001_008_361,2,1,2,1,0
256,001_008_76,3,1,2,2,0
257,001_009_1,3,1,3,1,0
258,001_009_10,1,1,3,2,0
259,001_009_11,1,1,2,2,0
260,001_009_12,1,1,3,2,0
261,001_009_13,3,1,2,1,0
262,001_009_15,2,3,1,1,0
263,001_009_17,2,3,3,2,0
264,001_009_18,3,1,3,1,0
265,001_009_19,3,3,3,1,0
266,001_009_20,3,4,2,1,0
267,001_009_21,3,1,2,1,0
268,001_009_24,3,1,2,1,0
269,001_009_25,3,1,2,1,0
270,001_009_3,3,2,2,1,0
271,001_009_33,0,5,1,2,0
272,001_009_37,0,5,1,2,0
273,001_009_5,1,1,2,2,0
274,001_009_6,3,1,2,1,0
275,001_009_7,3,1,2,1,0
276,001_009_8,1,1,3,2,0
277,001_009_9,1,2,2,2,0
278,001_010_1,1,1,3,1,0
279,001_010_10,2,3,1,1,0
280,001_010_101,2,3,1,1,0
281,001_010_102,2,3,1,1,0
282,001_010_103,2,3,1,1,0
283,001_010_114,2,3,1,2,0
284,001_010_116,1,1,1,1,0
285,001_010_117,2,1,1,2,0
286,001_010_119,2,3,1,2,0
287,001_010_12,3,1,3,2,0
288,001_010_120,2,1,1,2,0
289,001_010_121,3,2,2,1,0
290,001_010_122,2,3,1,1,0
291,001_010_123,2,3,1,1,0
292,001_010_124,2,3,1,1,0
293,001_010_125,2,3,1,1,0
294,001_010_132,2,3,1,1,0
295,001_010_133,2,3,1,1,0
296,001_010_134,2,3,1,1,0
297,001_010_135,2,3,1,1,0
298,001_010_136,2,3,1,1,0
299,001_010_138,2,3,1,1,0
300,001_010_139,2,3,1,1,0
301,001_010_14,1,1,3,2,0
302,001_010_15,3,1,3,1,0
303,001_010_16,2,3,1,1,0
304,001_010_17,2,3,1,1,0
305,001_010_19,2,1,2,2,0
306,001_010_2,1,1,2,2,0
307,001_010_20,3,1,3,2,0
308,001_010_21,3,2,2,1,0
309,001_010_22,3,2,3,1,0
310,001_010_23,3,2,2,1,0
311,001_010_24,3,2,2,1,0
312,001_010_34,2,3,1,1,0
313,001_010_35,2,3,1,1,0
314,001_010_36,2,3,1,1,0
315,001_010_37,2,3,1,1,0
316,001_010_38,2,3,1,1,0
317,001_010_40,2,3,1,1,0
318,001_010_41,2,3,1,1,0
319,001_010_53,3,2,2,1,0
320,001_010_54,3,2,2,1,0
321,001_010_55,3,2,2,1,0
322,001_010_56,3,2,2,1,0
323,001_010_57,3,2,2,1,0
324,001_010_58,3,2,2,1,0
325,001_010_63,2,1,1,2,0
326,001_010_64,2,3,1,1,0
327,001_010_70,2,1,1,2,0
328,001_010_71,2,3,1,1,0
329,001_010_75,2,3,1,1,0
330,001_010_76,2,3,1,1,0
331,001_010_8,3,2,2,1,0
332,001_010_84,3,1,3,1,0
333,001_010_9,3,2,2,1,0
334,001_011_1,3,2,3,2,0
335,001_011_10,3,1,2,1,0
336,001_011_11,1,1,3,1,0
337,001_011_110,2,1,1,2,0
338,001_011_114,2,1,1,1,0
339,001_011_115,2,1,1,1,0
340,001_011_116,2,1,1,2,0
341,001_011_118,2,3,1,1,0
342,001_011_119,2,3,1,1,0
343,001_011_12,2,3,1,1,0
344,001_011_120,2,3,1,1,0
345,001_011_123,2,3,1,1,0
346,001_011_124,2,3,1,2,0
347,001_011_125,2,3,1,2,0
348,001_011_13,3,1,2,2,0
349,001_011_14,2,1,1,2,0
350,001_011_15,2,1,1,2,0
351,001_011_16,1,1,3,2,0
352,001_011_17,2,1,3,1,0
353,001_011_18,3,1,2,1,0
354,001_011_19,1,1,1,1,0
355,001_011_2,2,3,1,1,0
356,001_011_20,3,2,2,1,0
357,001_011_21,3,2,2,1,0
358,001_011_22,3,4,2,1,0
359,001_011_23,3,4,2,1,0
360,001_011_24,2,3,1,1,0
361,001_011_3,2,3,1,1,0
362,001_011_4,2,3,1,1,0
363,001_011_42,2,3,1,1,0
364,001_011_44,2,3,1,1,0
365,001_011_45,2,3,1,1,0
366,001_011_46,2,3,1,1,0
367,001_011_47,2,3,1,1,0
368,001_011_5,2,3,1,1,0
369,001_011_52,2,3,1,1,0
370,001_011_61,2,1,1,2,0
371,001_011_67,2,1,1,2,0
372,001_011_7,3,2,2,1,0
373,001_011_70,2,3,1,1,0
374,001_011_8,3,1,2,1,0
375,001_011_83,2,1,1,2,0
376,001_011_84,2,3,1,2,0
377,001_011_86,2,3,1,1,0
378,001_011_87,2,3,1,1,0
379,001_011_88,2,1,1,2,0
380,001_011_9,1,1,2,2,0
381,001_011_94,2,1,1,2,0
382,001_012_1,1,1,2,2,0
383,001_012_115,0,5,1,2,0
384,001_012_12,2,1,1,2,0
385,001_012_123,2,1,1,1,0
386,001_012_13,2,1,1,2,0
387,001_012_14,2,1,1,1,0
388,001_012_159,2,1,1,2,0
389,001_012_19,0,5,1,2,0
390,001_012_2,3,1,2,2,0
391,001_012_20,2,1,1,2,0
392,001_012_21,2,1,1,2,0
393,001_012_23,2,1,1,1,0
394,001_012_27,2,1,1,2,0
395,001_012_28,2,1,1,2,0
396,001_012_29,2,1,1,2,0
397,001_012_3,3,1,2,1,0
398,001_012_4,1,1,2,1,0
399,001_013_125,2,3,1,1,0
400,001_013_126,2,3,1,1,0
401,001_013_14,3,1,1,1,0
402,001_013_142,2,1,1,2,0
403,001_013_15,1,3,2,4,0
404,001_013_154,2,1,1,1,0
405,001_013_159,2,1,1,1,0
406,001_013_16,1,3,1,4,0
407,001_013_160,2,1,1,2,0
408,001_013_161,2,1,1,2,0
409,001_013_162,1,3,1,4,0
410,001_013_167,2,1,1,1,0
411,001_013_168,4,1,1,0,0
412,001_013_17,3,1,3,1,0
413,001_013_173,2,3,1,1,0
414,001_013_175,2,1,1,1,0
415,001_013_18,3,4,1,1,0
416,001_013_19,2,1,1,1,0
417,001_013_191,2,1,1,2,0
418,001_013_197,2,1,1,1,0
419,001_013_198,2,1,1,1,0
420,001_013_199,2,1,1,2,0
421,001_013_2,3,1,2,1,0
422,001_013_20,2,1,2,4,0
423,001_013_209,2,1,1,2,0
424,001_013_21,2,1,2,4,0
425,001_013_219,2,1,1,2,0
426,001_013_22,2,1,1,1,0
427,001_013_222,2,1,1,2,0
428,001_013_223,3,4,1,1,0
429,001_013_224,1,3,2,4,0
430,001_013_225,4,1,1,0,0
431,001_013_226,3,1,2,1,0
432,001_013_227,2,3,1,1,0
433,001_013_228,1,3,1,4,0
434,001_013_23,3,1,3,1,0
435,001_013_230,2,3,1,1,0
436,001_013_231,2,1,1,2,0
437,001_013_24,3,1,3,2,0
438,001_013_25,2,1,1,4,0
439,001_013_26,2,1,1,0,0
440,001_013_27,2,1,3,1,0
441,001_013_28,3,2,1,2,0
442,001_013_29,2,1,1,1,0
443,001_013_30,3,1,2,1,0
444,001_013_31,3,1,1,1,0
445,001_013_32,1,1,3,1,0
446,001_013_33,2,3,1,1,0
447,001_013_34,3,1,2,1,0
448,001_013_35,3,2,1,2,0
449,001_013_36,2,1,1,2,0
450,001_013_37,3,1,2,1,0
451,001_013_39,3,1,1,1,0
452,001_013_40,3,1,2,1,0
453,001_013_41,3,1,2,1,0
454,001_013_42,3,1,2,1,0
455,001_013_43,3,1,1,1,0
456,001_013_45,3,1,3,1,0
457,001_013_46,2,1,1,1,0
458,001_013_47,2,1,1,2,0
459,001_013_48,2,1,3,1,0
460,001_013_49,2,1,3,1,0
461,001_013_50,2,1,1,2,0
462,001_013_52,4,4,1,0,0
463,001_013_53,4,4,1,0,0
464,001_013_54,4,4,1,0,0
465,001_013_55,4,4,1,0,0
466,001_013_56,2,1,1,2,0
467,001_013_57,2,1,1,2,0
468,001_013_66,4,1,1,0,0
469,001_013_67,4,1,1,0,0
470,001_014_1,3,4,2,1,0
471,001_014_10,1,1,2,1,0
472,001_014_108,3,1,2,1,0
473,001_014_11,1,3,2,0,0
474,001_014_111,3,4,2,1,0
475,001_014_112,3,4,2,1,0
476,001_014_113,3,4,2,1,0
477,001_014_114,2,1,1,1,0
478,001_014_115,3,4,1,1,0
479,001_014_12,3,1,3,1,0
480,001_014_120,2,1,1,1,0
481,001_014_121,3,1,2,1,0
482,001_014_123,3,1,2,1,0
483,001_014_128,2,4,1,1,0
484,001_014_132,3,1,1,1,0
485,001_014_133,3,4,1,1,0
486,001_014_135,3,1,1,1,0
487,001_014_136,3,1,1,1,0
488,001_014_137,3,4,2,1,0
489,001_014_138,3,1,1,1,0
490,001_014_139,2,1,1,1,0
491,001_014_14,4,1,1,0,0
492,001_014_140,2,1,1,1,0
493,001_014_143,3,4,1,1,0
494,001_014_144,3,4,1,1,0
495,001_014_149,2,1,1,1,0
496,001_014_15,3,4,1,1,0
497,001_014_151,2,1,1,1,0
498,001_014_153,1,1,1,4,0
499,001_014_154,2,1,1,1,0
500,001_014_155,2,1,1,1,0
501,001_014_156,2,1,1,1,0
502,001_014_16,3,1,2,1,0
503,001_014_160,3,4,1,1,0
504,001_014_162,2,1,1,2,0
505,001_014_163,2,1,1,1,0
506,001_014_164,2,1,1,2,0
507,001_014_165,2,1,1,2,0
508,001_014_166,2,1,1,2,0
509,001_014_167,3,1,2,1,0
510,001_014_168,3,4,1,1,0
511,001_014_169,4,1,1,0,0
512,001_014_17,3,2,2,1,0
513,001_014_170,3,1,1,1,0
514,001_014_173,2,1,1,2,0
515,001_014_174,3,1,2,1,0
516,001_014_177,3,4,2,1,0
517,001_014_178,3,4,2,1,0
518,001_014_18,3,4,2,1,0
519,001_014_184,2,1,1,2,0
520,001_014_185,3,2,2,1,0
521,001_014_186,2,1,1,2,0
522,001_014_187,3,2,2,1,0
523,001_014_188,2,1,1,1,0
524,001_014_189,2,1,1,1,0
525,001_014_19,3,4,1,1,0
526,001_014_190,3,3,2,1,0
527,001_014_191,2,2,1,1,0
528,001_014_192,2,1,1,2,0
529,001_014_193,2,1,1,1,0
530,001_014_194,2,1,1,1,0
531,001_014_195,2,1,1,2,0
532,001_014_196,2,1,1,2,0
533,001_014_197,2,1,1,1,0
534,001_014_198,1,1,1,4,0
535,001_014_199,2,1,1,1,0
536,001_014_2,3,4,2,1,0
537,001_014_20,1,3,1,1,0
538,001_014_202,2,1,1,2,0
539,001_014_203,2,1,1,2,0
540,001_014_204,2,1,1,2,0
541,001_014_205,2,1,1,2,0
542,001_014_206,2,1,1,2,0
543,001_014_207,2,1,1,1,0
544,001_014_208,2,1,1,2,0
545,001_014_209,2,1,1,2,0
546,001_014_21,3,2,1,1,0
547,001_014_210,2,1,1,2,0
548,001_014_211,2,1,1,1,0
549,001_014_212,2,1,1,1,0
550,001_014_213,2,1,1,2,0
551,001_014_214,2,1,1,1,0
552,001_014_215,2,1,1,2,0
553,001_014_216,3,4,2,1,0
554,001_014_217,3,4,2,1,0
555,001_014_218,3,2,2,1,0
556,001_014_219,3,4,1,1,0
557,001_014_22,3,2,2,1,0
558,001_014_220,3,4,1,1,0
559,001_014_221,3,1,2,1,0
560,001_014_222,3,1,2,1,0
561,001_014_223,3,2,1,1,0
562,001_014_224,3,1,1,1,0
563,001_014_225,3,1,1,1,0
564,001_014_226,3,2,2,1,0
565,001_014_227,3,3,2,1,0
566,001_014_228,1,1,1,4,0
567,001_014_229,1,1,1,4,0
568,001_014_23,3,2,2,1,0
569,001_014_230,1,1,1,4,0
570,001_014_231,2,1,1,1,0
571,001_014_232,2,1,1,1,0
572,001_014_233,2,1,1,1,0
573,001_014_237,2,3,1,1,0
574,001_014_238,2,1,1,1,0
575,001_014_239,2,1,1,1,0
576,001_014_24,3,2,2,1,0
577,001_014_241,2,1,1,2,0
578,001_014_242,2,1,1,1,0
579,001_014_243,2,1,1,1,0
580,001_014_25,3,2,2,1,0
581,001_014_26,3,1,2,1,0
582,001_014_27,2,1,1,1,0
583,001_014_28,2,3,1,1,0
584,001_014_29,3,2,2,1,0
585,001_014_3,1,2,2,4,0
586,001_014_30,3,2,2,1,0
587,001_014_31,3,4,2,1,0
588,001_014_32,3,4,1,1,0
589,001_014_33,3,4,1,1,0
590,001_014_34,3,4,1,1,0
591,001_014_35,2,1,1,4,0
592,001_014_36,2,1,1,0,0
593,001_014_37,3,1,1,1,0
594,001_014_38,3,1,1,1,0
595,001_014_39,1,1,1,4,0
596,001_014_4,3,2,2,1,0
597,001_014_40,3,1,2,1,0
598,001_014_41,3,1,3,1,0
599,001_014_42,3,1,2,1,0
600,001_014_43,2,1,1,2,0
601,001_014_44,2,1,1,1,0
602,001_014_45,1,1,3,2,0
603,001_014_46,2,1,3,2,0
604,001_014_47,3,2,3,2,0
605,001_014_48,3,2,3,2,0
606,001_014_49,3,2,2,1,0
607,001_014_5,3,1,2,1,0
608,001_014_50,2,1,1,4,0
609,001_014_52,3,1,2,1,0
610,001_014_53,3,1,2,1,0
611,001_014_55,3,3,3,1,0
612,001_014_56,3,3,1,1,0
613,001_014_57,2,3,1,1,0
614,001_014_58,3,1,2,1,0
615,001_014_59,3,1,3,2,0
616,001_014_6,3,2,1,1,0
617,001_014_60,2,1,1,1,0
618,001_014_61,3,2,2,1,0
619,001_014_62,4,1,1,0,0
620,001_014_63,3,1,3,1,0
621,001_014_64,3,1,3,1,0
622,001_014_65,3,1,2,1,0
623,001_014_66,3,1,3,2,0
624,001_014_67,2,3,2,1,0
625,001_014_68,3,2,2,1,0
626,001_014_69,3,2,2,2,0
627,001_014_7,2,1,2,4,0
628,001_014_70,3,2,2,1,0
629,001_014_71,3,2,2,1,0
630,001_014_72,2,1,1,1,0
631,001_014_73,2,1,1,1,0
632,001_014_74,3,2,3,1,0
633,001_014_75,3,1,2,1,0
634,001_014_76,2,2,1,1,0
635,001_014_77,2,1,1,1,0
636,001_014_78,2,1,2,1,0
637,001_014_79,3,1,2,1,0
638,001_014_8,3,1,2,1,0
639,001_014_80,2,1,1,4,0
640,001_014_81,3,1,2,1,0
641,001_014_82,2,1,1,1,0
642,001_014_83,3,1,1,1,0
643,001_014_84,3,1,3,1,0
644,001_014_85,1,1,3,2,0
645,001_014_86,3,1,1,1,0
646,001_014_87,3,1,2,1,0
647,001_014_88,3,1,3,2,0
648,001_014_89,1,1,3,2,0
649,001_014_9,3,1,3,1,0
650,001_014_90,2,1,1,1,0
651,001_014_91,2,1,1,1,0
652,001_014_92,3,3,3,1,0
653,001_014_93,2,1,1,1,0
654,001_014_94,3,1,1,1,0
655,001_014_95,3,1,1,1,0
656,001_014_96,3,1,1,1,0
657,001_014_97,2,1,2,1,0
658,001_015_1,3,1,3,1,0
659,001_015_10,2,1,3,4,0
660,001_015_101,3,1,3,2,0
661,001_015_102,3,1,2,1,0
662,001_015_103,3,2,2,1,0
663,001_015_104,3,4,2,1,0
664,001_015_106,3,2,3,1,0
665,001_015_107,2,1,2,1,0
666,001_015_108,2,1,2,1,0
667,001_015_109,2,1,2,1,0
668,001_015_11,2,3,3,1,0
669,001_015_110,3,1,3,1,0
670,001_015_111,2,1,1,1,0
671,001_015_112,2,2,1,1,0
672,001_015_113,2,2,1,1,0
673,001_015_114,3,1,2,1,0
674,001_015_115,2,1,1,1,0
675,001_015_116,2,1,3,1,0
676,001_015_117,2,1,2,1,0
677,001_015_118,2,1,2,1,0
678,001_015_119,2,1,2,1,0
679,001_015_12,2,2,3,4,0
680,001_015_120,2,1,3,1,0
681,001_015_121,2,1,2,4,0
682,001_015_122,2,1,1,1,0
683,001_015_123,2,2,2,1,0
684,001_015_124,3,1,2,1,0
685,001_015_125,2,1,3,1,0
686,001_015_126,2,1,1,1,0
687,001_015_127,3,1,2,1,0
688,001_015_128,2,2,2,1,0
689,001_015_129,2,2,2,1,0
690,001_015_13,4,2,3,4,0
691,001_015_130,2,1,3,4,0
692,001_015_131,2,1,2,1,0
693,001_015_132,2,1,3,1,0
694,001_015_133,2,1,3,1,0
695,001_015_134,2,1,2,1,0
696,001_015_135,3,1,3,1,0
697,001_015_136,2,1,3,1,0
698,001_015_137,2,1,3,1,0
699,001_015_138,2,1,2,1,0
700,001_015_139,3,1,2,1,0
701,001_015_14,4,2,3,4,0
702,001_015_140,2,1,3,1,0
703,001_015_141,3,1,3,1,0
704,001_015_142,2,1,1,1,0
705,001_015_143,2,1,3,1,0
706,001_015_144,3,1,3,1,0
707,001_015_145,4,1,3,4,0
708,001_015_146,2,1,1,1,0
709,001_015_147,3,1,3,1,0
710,001_015_148,2,1,2,4,0
711,001_015_149,2,1,1,1,0
712,001_015_15,2,1,1,1,0
713,001_015_150,2,1,2,1,0
714,001_015_151,2,1,3,1,0
715,001_015_152,3,1,2,1,0
716,001_015_153,2,2,2,1,0
717,001_015_154,2,1,3,1,0
718,001_015_155,2,1,3,1,0
719,001_015_156,3,1,3,1,0
720,001_015_157,2,1,3,1,0
721,001_015_158,3,1,2,1,0
722,001_015_159,2,1,1,4,0
723,001_015_16,2,2,1,1,0
724,001_015_160,3,1,3,1,0
725,001_015_161,2,2,1,4,0
726,001_015_162,2,2,1,1,0
727,001_015_163,2,1,2,4,0
728,001_015_164,2,1,2,4,0
729,001_015_165,3,1,2,1,0
730,001_015_166,2,1,3,1,0
731,001_015_167,2,1,3,4,0
732,001_015_168,2,1,2,1,0
733,001_015_169,2,2,1,1,0
734,001_015_17,2,1,1,1,0
735,001_015_170,2,1,1,4,0
736,001_015_171,2,1,3,1,0
737,001_015_172,2,1,2,1,0
738,001_015_173,2,1,2,1,0
739,001_015_174,2,1,2,1,0
740,001_015_175,3,1,3,1,0
741,001_015_176,2,1,3,1,0
742,001_015_177,2,1,2,1,0
743,001_015_178,2,1,1,1,0
744,001_015_18,2,1,1,1,0
745,001_015_180,2,1,3,1,0
746,001_015_181,2,4,1,4,0
747,001_015_182,2,1,2,1,0
748,001_015_183,3,1,3,1,0
749,001_015_184,3,1,3,1,0
750,001_015_185,3,2,3,1,0
751,001_015_186,2,1,3,1,0
752,001_015_187,3,2,3,1,0
753,001_015_188,2,1,1,1,0
754,001_015_189,2,1,2,4,0
755,001_015_19,2,1,1,1,0
756,001_015_190,2,1,1,1,0
757,001_015_191,3,2,2,1,0
758,001_015_192,2,1,2,1,0
759,001_015_193,2,1,3,1,0
760,001_015_194,2,1,3,1,0
761,001_015_195,2,1,3,1,0
762,001_015_196,2,2,1,1,0
763,001_015_197,3,1,3,1,0
764,001_015_198,2,1,2,1,0
765,001_015_199,2,1,3,1,0
766,001_015_2,2,1,3,1,0
767,001_015_20,2,3,2,1,0
768,001_015_200,3,1,2,1,0
769,001_015_201,1,1,2,4,0
770,001_015_202,3,1,3,1,0
771,001_015_203,3,1,3,1,0
772,001_015_204,3,1,2,1,0
773,001_015_205,2,1,3,1,0
774,001_015_206,2,1,1,1,0
775,001_015_207,2,1,2,1,0
